country,iso3,year,sector,antibiotic_family,ddd_per_1000_per_day,access_pct,broad_narrow_ratio,oral_parenteral_ratio,reserve_pct,source_url
Austria,AUT,2022,hospital,J01M_quinolones,0.1252,,,,5.702308487423912,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2013,community,J01C_penicillins,9.8656,,,,1.9662587620292276,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2013,community,J01D_other_beta_lactams,1.5315,,,,1.9662587620292276,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2013,community,J01M_quinolones,2.6388,,,,1.9662587620292276,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2013,hospital,J01C_penicillins,0.7474000000000001,,,,1.9662587620292276,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2013,hospital,J01DH_carbapenems,0.0499,,,,1.9662587620292276,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2013,hospital,J01D_other_beta_lactams,0.38620000000000004,,,,1.9662587620292276,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2013,hospital,J01M_quinolones,0.21739999999999998,,,,1.9662587620292276,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2014,community,J01C_penicillins,9.9098,,,,2.0073542709024053,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2014,community,J01D_other_beta_lactams,1.4224999999999999,,,,2.0073542709024053,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2014,community,J01M_quinolones,2.5524999999999998,,,,2.0073542709024053,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2014,hospital,J01C_penicillins,0.7446999999999999,,,,2.0073542709024053,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2014,hospital,J01DH_carbapenems,0.052700000000000004,,,,2.0073542709024053,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2014,hospital,J01D_other_beta_lactams,0.38070000000000004,,,,2.0073542709024053,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2014,hospital,J01M_quinolones,0.20809999999999998,,,,2.0073542709024053,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2015,community,J01C_penicillins,10.0886,,,,1.96078431372549,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2015,community,J01D_other_beta_lactams,1.4402,,,,1.96078431372549,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2015,community,J01M_quinolones,2.5715999999999997,,,,1.96078431372549,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2015,hospital,J01C_penicillins,0.7584,,,,1.96078431372549,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2015,hospital,J01DH_carbapenems,0.0526,,,,1.96078431372549,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2015,hospital,J01D_other_beta_lactams,0.38569999999999993,,,,1.96078431372549,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2015,hospital,J01M_quinolones,0.20900000000000002,,,,1.96078431372549,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2016,community,J01C_penicillins,10.213899999999999,,,,2.0900130625816407,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2016,community,J01D_other_beta_lactams,1.3178,,,,2.0900130625816407,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2016,community,J01M_quinolones,2.4042,,,,2.0900130625816407,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2016,hospital,J01C_penicillins,0.7453,,,,2.0900130625816407,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2016,hospital,J01DH_carbapenems,0.050600000000000006,,,,2.0900130625816407,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2016,hospital,J01D_other_beta_lactams,0.3755,,,,2.0900130625816407,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2016,hospital,J01M_quinolones,0.19979999999999998,,,,2.0900130625816407,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2017,community,J01C_penicillins,9.7426,,,,2.0622286541244574,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2017,community,J01D_other_beta_lactams,1.1726,,,,2.0622286541244574,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2017,community,J01M_quinolones,2.1725000000000003,,,,2.0622286541244574,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2017,hospital,J01C_penicillins,0.7393999999999998,,,,2.0622286541244574,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2017,hospital,J01DH_carbapenems,0.0489,,,,2.0622286541244574,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2017,hospital,J01D_other_beta_lactams,0.37129999999999996,,,,2.0622286541244574,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2017,hospital,J01M_quinolones,0.1886,,,,2.0622286541244574,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2018,community,J01C_penicillins,10.0976,,,,2.037126325940212,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2018,community,J01D_other_beta_lactams,1.2453,,,,2.037126325940212,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2018,community,J01M_quinolones,1.1618,,,,2.037126325940212,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2018,hospital,J01C_penicillins,0.7609,,,,2.037126325940212,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2018,hospital,J01DH_carbapenems,0.0492,,,,2.037126325940212,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2018,hospital,J01D_other_beta_lactams,0.3756,,,,2.037126325940212,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2018,hospital,J01M_quinolones,0.17090000000000002,,,,2.037126325940212,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2019,community,J01C_penicillins,9.7919,,,,2.1260997067448684,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2019,community,J01D_other_beta_lactams,1.2003,,,,2.1260997067448684,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2019,community,J01M_quinolones,0.5719,,,,2.1260997067448684,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2019,hospital,J01C_penicillins,0.7397,,,,2.1260997067448684,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2019,hospital,J01DH_carbapenems,0.047,,,,2.1260997067448684,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2019,hospital,J01D_other_beta_lactams,0.37520000000000003,,,,2.1260997067448684,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2019,hospital,J01M_quinolones,0.1587,,,,2.1260997067448684,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2020,community,J01C_penicillins,6.9681999999999995,,,,2.233009708737864,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2020,community,J01D_other_beta_lactams,0.7981,,,,2.233009708737864,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2020,community,J01M_quinolones,0.46009999999999995,,,,2.233009708737864,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2020,hospital,J01C_penicillins,0.6436999999999998,,,,2.233009708737864,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2020,hospital,J01DH_carbapenems,0.0448,,,,2.233009708737864,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2020,hospital,J01D_other_beta_lactams,0.3349,,,,2.233009708737864,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2020,hospital,J01M_quinolones,0.1342,,,,2.233009708737864,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2021,community,J01C_penicillins,7.496600000000001,,,,2.352700490998363,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2021,community,J01D_other_beta_lactams,0.7963,,,,2.352700490998363,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2021,community,J01M_quinolones,0.4454,,,,2.352700490998363,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2021,hospital,J01C_penicillins,0.6576,,,,2.352700490998363,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2021,hospital,J01DH_carbapenems,0.0443,,,,2.352700490998363,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Belgium,BEL,2021,hospital,J01D_other_beta_lactams,0.3499,,,,2.352700490998363,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
