region,country,iso3,year,pathogen,specimen,antibiotic,resistant,tested,ast_standard,ast_version,test_method,source_url
EU_EEA,Austria,AUT,2018,Escherichia coli,Blood/invasive,Aminopenicillins,2764,5456,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2019,Escherichia coli,Blood/invasive,Aminopenicillins,2796,6042,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2020,Escherichia coli,Blood/invasive,Aminopenicillins,2207,4798,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2021,Escherichia coli,Blood/invasive,Aminopenicillins,2167,4805,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2022,Escherichia coli,Blood/invasive,Aminopenicillins,2145,4669,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2023,Escherichia coli,Blood/invasive,Aminopenicillins,2268,4885,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2001,Escherichia coli,Blood/invasive,Carbapenems,0,33,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2002,Escherichia coli,Blood/invasive,Carbapenems,0,234,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2003,Escherichia coli,Blood/invasive,Carbapenems,1,663,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2004,Escherichia coli,Blood/invasive,Carbapenems,3,1260,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2005,Escherichia coli,Blood/invasive,Carbapenems,3,1423,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2006,Escherichia coli,Blood/invasive,Carbapenems,5,1761,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2007,Escherichia coli,Blood/invasive,Carbapenems,4,2063,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2008,Escherichia coli,Blood/invasive,Carbapenems,4,2409,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2009,Escherichia coli,Blood/invasive,Carbapenems,3,2105,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2010,Escherichia coli,Blood/invasive,Carbapenems,1,2465,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2011,Escherichia coli,Blood/invasive,Carbapenems,1,2712,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2012,Escherichia coli,Blood/invasive,Carbapenems,2,3340,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2013,Escherichia coli,Blood/invasive,Carbapenems,1,4257,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2014,Escherichia coli,Blood/invasive,Carbapenems,1,4600,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2015,Escherichia coli,Blood/invasive,Carbapenems,1,4760,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2016,Escherichia coli,Blood/invasive,Carbapenems,1,5134,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2017,Escherichia coli,Blood/invasive,Carbapenems,1,5227,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2018,Escherichia coli,Blood/invasive,Carbapenems,4,5564,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2019,Escherichia coli,Blood/invasive,Carbapenems,0,5935,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2020,Escherichia coli,Blood/invasive,Carbapenems,5,5141,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
